Product Name,Product URL,Product Price(₹),Product Rating,Product Number of Reviews
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Navy Blue),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjQxNjE2OTcxNDM0NDkzOjE2Nzk0ODE5Mjg6c3BfYnRmOjIwMTEzNzg4MTc1Nzk4OjowOjo&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MCRFH6N%2Fref%3Dsr_1_80_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481928%26sprefix%3Dba%252Caps%252C283%26sr%3D8-80-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,349",4.3,"(7,733)"
Lunar's 45 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjQxNjE2OTcxNDM0NDkzOjE2Nzk0ODE5Mjg6c3BfYnRmOjIwMDE1OTQ2MzU1NDk4OjowOjo&url=%2FLunars-Laptop-Office-Water-Resistant%2Fdp%2FB09MF7B1ZK%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481928%26sprefix%3Dba%252Caps%252C283%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,899,3.9,(128)
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1MzIxNjI4MDk3Mzc3OjE2Nzk0ODE5MzU6c3BfYXRmX25leHQ6MjAxMjE0ODk2Mzg0OTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481935%26sprefix%3Dba%252Caps%252C283%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,529,5.0,(2)
EUME Alexis 31 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1MzIxNjI4MDk3Mzc3OjE2Nzk0ODE5MzU6c3BfYXRmX25leHQ6MjAxMTQ0MTQyMjg0OTg6OjA6Og&url=%2FEUME-Alexis-Backpack-Resistance-15-6-inch%2Fdp%2FB0BN5DYQSK%2Fref%3Dsr_1_82_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481935%26sprefix%3Dba%252Caps%252C283%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,"2,449",4.3,(117)
Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men and Women,https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-83,"1,399",4.2,(312)
FUR JADEN 15.6 Anti Theft Laptop Backpack with USB Charging Port Unisex Bag for College Office Suitable for Men Women,https://www.amazon.in/FUR-JADEN-Waterproof-Charging-BM25_Grey/dp/B07FM9BSKW/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-84,789,4.0,"(5,810)"
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,https://www.amazon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-85,299,3.8,"(2,292)"
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-81,843,3.7,(740)
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-82,"1,299",4.1,"(1,013)"
"TRAWOC 55 LTR Travel Backpack Daypack bag for Camping Hiking Trekking, English Blue, SHK014",https://www.amazon.in/TRAWOC-Backpack-Outdoor-Trekking-Rucksack/dp/B07XY6BFXJ/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-83,"1,417",4.2,"(2,378)"
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-84,"1,181",4.2,"(1,365)"
"BROGBUS pu Leather Men Bag Casual Business Messenger Bag for Cross body Bag Male Shoulder Bags PU Leather Sling Messenger Bag (Brown, L- 10.05inch H- 11.5inch W- 3inch)",https://www.amazon.in/BROGBUS-Business-Messenger-Sling-10-05inch/dp/B09QLD9GJY/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-85,939,4.1,(426)
